Muestra 1;;;;
23/06/2023 20:11;;;;
Longitud de onda (nm);10mm Absorbance;;;
//WLCalib: Shift;-0,04667;;;
//WLCalib: 261S;0,05;;;
//WLCalib: 362S;0,17;;;
//WLCalib: 484S;0,16;;;
//WLCalib: 529S;0,29;;;
//WLCalib: 823S;0,07;;;
//QSpecEnd:;;;;
493;0,157;0,055;-0,076;0,121
493,5;0,123;-0,098;-0,151;0,072
494;0,095;-0,17;-0,136;0,071
494,5;0,01;-0,248;-0,142;0,054
495;-0,055;-0,38;-0,175;0,033
495,5;-0,016;-0,428;-0,177;0,009
496;0,01;-0,418;-0,157;0,012
496,5;-0,047;-0,431;-0,145;0,009
497;-0,051;-0,409;-0,152;-0,029
497,5;-0,098;-0,396;-0,191;-0,06
498;-0,12;-0,362;-0,221;-0,05
498,5;-0,063;-0,343;-0,279;-0,046
499;-0,055;-0,378;-0,289;-0,044
499,5;-0,097;-0,43;-0,334;-0,068
500;-0,082;-0,508;-0,389;-0,102
500,5;0,016;-0,436;-0,354;-0,063
501;0,088;-0,396;-0,35;-0,057
501,5;0,093;-0,383;-0,336;-0,06
502;0,097;-0,424;-0,33;-0,085
502,5;0,081;-0,39;-0,297;-0,086
503;0,089;-0,365;-0,259;-0,08
503,5;0,098;-0,341;-0,233;-0,036
504;0,097;-0,338;-0,233;0,013
504,5;0,078;-0,307;-0,25;0,025
505;0,02;-0,269;-0,248;0,068
505,5;-0,013;-0,219;-0,229;0,108
506;0,008;-0,249;-0,266;0,06
506,5;-0,03;-0,327;-0,282;0,019
507;-0,139;-0,451;-0,317;-0,054
507,5;-0,156;-0,421;-0,329;-0,064
508;-0,161;-0,409;-0,337;-0,095
508,5;-0,125;-0,395;-0,359;-0,059
509;-0,14;-0,368;-0,388;-0,047
509,5;-0,119;-0,302;-0,385;-0,034
510;-0,105;-0,263;-0,345;-0,011
510,5;-0,042;-0,231;-0,31;-0,005
511;-0,029;-0,232;-0,326;-0,031
511,5;-0,098;-0,316;-0,326;-0,063
512;-0,218;-0,329;-0,305;-0,064
512,5;-0,274;-0,293;-0,246;-0,03
513;-0,256;-0,245;-0,223;0,005
513,5;-0,164;-0,214;-0,189;0,063
514;-0,127;-0,174;-0,184;0,064
514,5;-0,127;-0,158;-0,204;0,044
515;-0,075;-0,212;-0,234;-0,005
515,5;-0,048;-0,324;-0,315;-0,046
516;-0,044;-0,421;-0,393;-0,116
516,5;-0,168;-0,506;-0,445;-0,179
517;-0,185;-0,519;-0,444;-0,18
517,5;-0,222;-0,535;-0,403;-0,177
518;-0,182;-0,449;-0,383;-0,099
518,5;-0,147;-0,475;-0,36;-0,068
519;-0,107;-0,417;-0,339;-0,027
519,5;-0,181;-0,416;-0,339;-0,002
520;-0,195;-0,465;-0,334;-0,024
520,5;-0,146;-0,47;-0,291;0,007
521;-0,088;-0,446;-0,291;-0,009
521,5;-0,185;-0,47;-0,337;-0,051
522;-0,167;-0,475;-0,357;-0,091
522,5;-0,227;-0,503;-0,399;-0,15
523;-0,255;-0,476;-0,42;-0,173
523,5;-0,306;-0,544;-0,453;-0,225
524;-0,335;-0,572;-0,437;-0,185
